rand,select,common_name,scientific_name,group,state_status,federal_status,global_rank,state_rank,global_rank_2,plan_date,rpn,fws_exp,other_fed_exp,state_exp,total_exp,years_rep,max_exp,median_exp,rpn_sort
0.417514094,0,Southern Hickorynut,Obovaria jacksoniana,Invertebrate,Threatened,Not listed,G2,S1,2,,,,,,,,,,
0.331245347,0,Texas Fatmucket,Lampsilis bracteata,Invertebrate,Threatened,Candidate,G1,S1,1,,,,,,,,,,
0.801356771,0,Texas Fawnsfoot,Truncilla macrodon,Invertebrate,Threatened,Candidate,G2Q,S1,2,,,,,,,,,,
0.404866349,0,Texas Heelsplitter,Potamilus amphichaenus,Invertebrate,Threatened,Not listed,G1G2,S1,1.5,,,,,,,,,,
0.65835318,0,Texas Hornshell,Popenaias popeii,Invertebrate,Threatened,Proposed Endangered,G1,S1,1,,,,,,,,,,
0.746012483,0,Texas Pigtoe,Fusconaia askewi,Invertebrate,Threatened,Not listed,G2G3,S2S3,2.5,,,,,,,,,,
0.365802231,0,Texas Pimpleback,Quadrula petrina,Invertebrate,Threatened,Candidate,G2,S1,2,,,,,,,,,,
0.351452907,0,Tooth Cave Ground Beetle,Rhadine persephone,Invertebrate,,Endangered,G1G2,S1,1.5,1994/08/25 00:00:00,8C,124758,31917,13352,170027,14,50000,6183.5,8
0.4341186,0,Tooth Cave Pseudoscorpion,Tartarocreagris texana,Invertebrate,,Endangered,G1G2,S1,1.5,1994/08/25 00:00:00,2C,101041,37320,15326,153687,15,50000,5598,2
0.204331721,0,Tooth Cave Spider,Tayshaneta myopica,Invertebrate,,Endangered,G1G2,S1,1.5,,,,,,,,,,
0.80253351,0,Triangle Pigtoe,Fusconaia lananensis,Invertebrate,Threatened,Not listed,G1Q,S1,1,,,,,,,,,,
0.408650138,0,Warton Cave Meshweaver,Cicurina wartoni,Invertebrate,,Candidate,G1,S1,1,,,,,,,,,,
0.465506163,0,Atlantic Spotted Dolphin,Stenella frontalis,Mammal,Threatened,Not listed,G5,S1,5,,,,,,,,,,
0.274559781,0,Black Bear,Ursus americanus,Mammal,Threatened,Not listed,G5,S3,5,1995/09/27 00:00:00,9,,,,,,,,9
0.483326649,0,Coues' Rice Rat,Oryzomys couesi,Mammal,Threatened,Not listed,G5T2T4,S2,5,,,,,,,,,,
0.993129885,0,Dwarf Sperm Whale,Kogia simus,Mammal,Threatened,Not listed,G4,S1,4,,,,,,,,,,
0.189644164,0,False Killer Whale,Pseudorca crassidens,Mammal,Threatened,Not listed,G4,S1,4,,,0,704890,0,704890,2,607149,352445,
0.172377731,0,Finback Whale,Balaenoptera physalus,Mammal,Endangered,Endangered,G3G4,S1,3.5,,,3472,17441964,318412,17763848,15,3814423,877306,
0.256002078,0,Gervais' Beaked Whale,Mesoplodon europaeus,Mammal,Threatened,Not listed,G3,S1,3,,,,,,,,,,
0.978044446,0,Goose-beaked Whale,Ziphius cavirostris,Mammal,Threatened,Not listed,G4,S1,4,,,,,,,,,,
